px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
163.725	28.8111	2.75358	0.588092	0.0850619	163.625	28.7683	164.155	28.8064	2.64354	1.28825	1.993
163.822	28.8146	2.85562	0.555102	0.0524797	164.116	29.315	164.155	28.8064	2.64354	1.28825	2.51513
166.695	30.1723	3.10968	0.411751	-0.073528	166.828	30.2062	166.809	30.0721	2.63006	1.22694	3.64873
166.67	30.1688	3.05329	0.425092	-0.0581157	166.748	29.7121	166.809	30.0721	2.63006	1.22694	0.414606
169.178	31.3912	2.88856	0.432995	-0.0178366	169.097	31.3717	169.452	31.2706	2.61238	1.15075	1.19552
169.184	31.3915	2.89166	0.43239	-0.0179925	169.345	30.7063	169.452	31.2706	2.61238	1.15075	0.03439
172.095	32.3348	3.04072	0.270386	-0.107545	172.175	32.3404	172.079	32.3873	2.58945	1.06126	1.36373
172.092	32.332	2.99775	0.272954	-0.103346	172.135	32.6666	172.079	32.3873	2.58945	1.06126	0.483131
174.706	33.4433	2.88836	0.377079	0.020001	174.643	33.4625	174.685	33.4095	2.56021	0.960341	1.31554
174.668	33.4426	2.82688	0.386726	0.0310082	174.474	33.9157	174.685	33.4095	2.56021	0.960341	0.459909
177.1	34.2439	2.65493	0.326751	-0.0208141	177.03	34.2009	177.261	34.3262	2.52363	0.850119	1.2455
177.095	34.2431	2.63184	0.329185	-0.0177595	177.211	33.8467	177.261	34.3262	2.52363	0.850119	0.113452
179.992	35.1031	2.95906	0.265087	-0.0462617	180.145	35.1423	179.799	35.1289	2.47883	0.732949	4.20828
179.9	35.0873	2.81208	0.277674	-0.033799	179.543	35.4767	179.799	35.1289	2.47883	0.732949	2.68078
182.594	35.755	2.8216	0.222211	-0.0465109	182.599	35.753	182.292	35.8114	2.42515	0.611338	0.0120486
182.5	35.7375	2.69117	0.227531	-0.0416326	182.047	36.2626	182.292	35.8114	2.42515	0.611338	2.61796
184.815	36.5117	2.52488	0.310436	0.0317801	184.732	36.5155	184.73	36.37	2.36226	0.487877	1.36026
184.782	36.5107	2.44688	0.31902	0.0414175	184.833	36.1451	184.73	36.37	2.36226	0.487877	0.700438
186.992	36.9812	2.32633	0.220789	-0.0388605	186.946	36.9404	187.103	36.804	2.29017	0.365145	0.881862
187.042	36.9904	2.37689	0.216959	-0.0416258	187.296	36.9375	187.103	36.804	2.29017	0.365145	0.82332
189.431	37.4035	2.44555	0.145351	-0.0583616	189.465	37.4052	189.401	37.1147	2.20928	0.245623	0.200482
189.445	37.4028	2.41139	0.142143	-0.0610869	189.738	36.951	189.401	37.1147	2.20928	0.245623	0.887288
191.754	37.5725	2.37178	0.0387035	-0.0856595	191.735	37.5631	191.615	37.3064	2.12037	0.131591	0.0919684
191.713	37.5594	2.30233	0.0297405	-0.0945868	191.682	37.1147	191.615	37.3064	2.12037	0.131591	0.585282
193.605	37.302	2.02814	-0.177813	-0.164443	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	3.21511
193.608	37.3063	2.04647	-0.170983	-0.157182	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	0.0763875
195.89	37.3493	2.2032	0.00659811	0.0387563	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	3.29925
195.806	37.3333	2.08407	-0.0216911	0.0155613	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	2.04258
197.754	37.6926	2.00176	0.202164	0.130721	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	0.844001
197.71	37.685	1.95237	0.196987	0.127786	197.582	37.303	197.683	37.2395	1.81869	-0.159495	0.612969
199.398	37.3888	1.70031	-0.0894225	-0.095769	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	5.26661
199.388	37.3857	1.68733	-0.091351	-0.0977161	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	0.0285204
201.41	37.0167	1.98587	-0.245651	-0.118803	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	3.40075
201.331	36.9873	1.89038	-0.287904	-0.153774	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	1.86436
202.99	36.4402	1.81685	-0.390664	-0.129153	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	0.210441
202.94	36.4208	1.75216	-0.429033	-0.162564	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	0.775501
204.123	36.1009	1.36485	-0.407834	-0.0754246	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	5.24757
204.112	36.0963	1.41313	-0.390921	-0.0520232	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	1.71997
